date,amount,accumulated_sum
"Dec 07, 2017",28932.0,28932.0
"Dec 08, 2017",27530.0,56462.0
"Dec 09, 2017",15470.0,71932.0
"Dec 10, 2017",10000.0,81932.0
"Dec 11, 2017",37475.0,119407.0
"Dec 12, 2017",27800.0,147207.0
"Dec 13, 2017",6450.0,153657.0
"Dec 14, 2017",33495.0,187152.0
"Dec 15, 2017",14525.0,201677.0
"Dec 16, 2017",6300.0,207977.0
"Dec 17, 2017",2900.0,210877.0
"Dec 18, 2017",16725.0,227602.0
"Dec 19, 2017",8700.0,236302.0
"Dec 20, 2017",36600.0,272902.0
"Dec 21, 2017",20950.0,293852.0
"Dec 22, 2017",24585.0,318437.0
"Dec 23, 2017",4100.0,322537.0
"Dec 25, 2017",3650.0,326187.0
"Dec 26, 2017",5300.0,331487.0
"Dec 27, 2017",30560.0,362047.0
"Dec 28, 2017",38750.0,400797.0
"Dec 29, 2017",49730.0,450527.0
"Dec 30, 2017",46216.0,496743.0
"Dec 31, 2017",44372.0,541115.0
"Jan 01, 2018",3250.0,544365.0
"Jan 02, 2018",600.0,544965.0
"Jan 03, 2018",4800.0,549765.0
"Jan 04, 2018",4500.0,554265.0
"Jan 07, 2018",2725.0,556990.0
"Jan 08, 2018",4950.0,561940.0
"Jan 09, 2018",2450.0,564390.0
"Jan 10, 2018",4750.0,569140.0
"Jan 11, 2018",9574.0,578714.0
"Jan 12, 2018",5800.0,584514.0
"Jan 13, 2018",3680.0,588194.0
"Jan 14, 2018",1550.0,589744.0
"Jan 15, 2018",5550.0,595294.0
"Jan 16, 2018",7550.0,602844.0
"Jan 17, 2018",4350.0,607194.0
"Jan 18, 2018",4350.0,611544.0
"Jan 19, 2018",1210.0,612754.0
"Jan 20, 2018",2200.0,614954.0
"Jan 21, 2018",1200.0,616154.0
"Jan 23, 2018",2100.0,618254.0
"Jan 24, 2018",3800.0,622054.0
"Jan 25, 2018",25.0,622079.0
"Jan 26, 2018",7200.0,629279.0
"Jan 27, 2018",1250.0,630529.0
"Jan 28, 2018",1850.0,632379.0
"Jan 29, 2018",650.0,633029.0
"Jan 30, 2018",2900.0,635929.0
"Jan 31, 2018",2260.0,638189.0
"Feb 01, 2018",1495.0,639684.0
"Feb 02, 2018",2765.0,642449.0
"Feb 03, 2018",25.0,642474.0
"Feb 04, 2018",715.0,643189.0
"Feb 05, 2018",2700.0,645889.0
"Feb 06, 2018",2400.0,648289.0
"Feb 07, 2018",1700.0,649989.0
"Feb 08, 2018",1030.0,651019.0
"Feb 10, 2018",1000.0,652019.0
"Feb 11, 2018",1200.0,653219.0
"Feb 12, 2018",3200.0,656419.0
"Feb 13, 2018",1200.0,657619.0
"Feb 14, 2018",5425.0,663044.0
"Feb 15, 2018",700.0,663744.0
"Feb 16, 2018",500.0,664244.0
"Feb 17, 2018",1250.0,665494.0
"Feb 18, 2018",6600.0,672094.0
"Feb 19, 2018",2400.0,674494.0
"Feb 21, 2018",1950.0,676444.0
"Feb 22, 2018",50.0,676494.0
"Feb 23, 2018",3750.0,680244.0
"Feb 24, 2018",6150.0,686394.0
"Feb 25, 2018",500.0,686894.0
"Feb 26, 2018",950.0,687844.0
"Feb 27, 2018",1700.0,689544.0
"Feb 28, 2018",1510.0,691054.0
"Mar 02, 2018",1200.0,692254.0
"Mar 03, 2018",1000.0,693254.0
"Mar 04, 2018",5.0,693259.0
"Mar 05, 2018",1200.0,694459.0
"Mar 06, 2018",500.0,694959.0
"Mar 07, 2018",275.0,695234.0
"Mar 08, 2018",3150.0,698384.0
"Mar 09, 2018",1300.0,699684.0
"Mar 12, 2018",5550.0,705234.0
"Mar 13, 2018",500.0,705734.0
"Mar 18, 2018",1200.0,706934.0
"Mar 20, 2018",7200.0,714134.0
"Mar 21, 2018",250.0,714384.0
"Mar 23, 2018",350.0,714734.0
"Mar 26, 2018",21500.0,736234.0
"Mar 27, 2018",4800.0,741034.0
"Mar 28, 2018",200.0,741234.0
"Mar 30, 2018",6577.0,747811.0
"Mar 31, 2018",10.0,747821.0
"Apr 03, 2018",600.0,748421.0
"Apr 04, 2018",3505.0,751926.0
"Apr 10, 2018",250.0,752176.0
"Apr 11, 2018",250.0,752426.0
"Apr 14, 2018",100.0,752526.0
"Apr 27, 2018",3000.0,755526.0
"Apr 28, 2018",200.0,755726.0
"Apr 30, 2018",260.0,755986.0
"May 04, 2018",5.0,755991.0
"May 05, 2018",20.0,756011.0
"May 06, 2018",500.0,756511.0
"May 07, 2018",3700.0,760211.0
"May 08, 2018",750.0,760961.0
"May 09, 2018",100.0,761061.0
"May 14, 2018",1500.0,762561.0
"May 15, 2018",1800.0,764361.0
"May 16, 2018",1150.0,765511.0
"May 17, 2018",7961.11,773472.11
"May 18, 2018",3550.0,777022.11
"May 19, 2018",1675.0,778697.11
"May 20, 2018",1450.0,780147.11
"May 21, 2018",5150.0,785297.11
"May 22, 2018",3500.0,788797.11
"May 23, 2018",2200.0,790997.11
"May 24, 2018",4299.0,795296.11
"May 25, 2018",5750.0,801046.11
"May 28, 2018",200.0,801246.11
"May 29, 2018",4900.0,806146.11
"May 30, 2018",650.0,806796.11
"May 31, 2018",4110.0,810906.11
"Jun 01, 2018",2300.0,813206.11
"Jun 02, 2018",500.0,813706.11
"Jun 03, 2018",680.0,814386.11
"Jun 04, 2018",2405.0,816791.11
